'# BARABASI, conf->n_vertex : 100, N_RAN: 1, TIMER: 10000, T_TRANS: 0 ,DEATH_PROB 0.012500, DEATH_PHASE  2, K 0'
# N_palline(X)	AVG frequency(Y1)	probability(Y2)
0	57.662400	0.576624
1	13.892500	0.138925
2	5.232200	0.052322
3	2.539000	0.025390
4	1.585700	0.015857
5	1.357100	0.013571
6	0.862900	0.008629
7	0.610800	0.006108
8	0.452800	0.004528
9	0.375900	0.003759
10	0.464100	0.004641
11	0.395300	0.003953
12	0.330700	0.003307
13	0.302900	0.003029
14	0.348000	0.003480
15	0.228400	0.002284
16	0.284500	0.002845
17	0.321100	0.003211
18	0.276400	0.002764
19	0.271900	0.002719
20	0.234700	0.002347
21	0.133200	0.001332
22	0.169500	0.001695
23	0.152300	0.001523
24	0.136700	0.001367
25	0.116500	0.001165
26	0.114000	0.001140
27	0.137200	0.001372
28	0.160100	0.001601
29	0.202000	0.002020
30	0.153100	0.001531
31	0.183700	0.001837
32	0.193300	0.001933
33	0.206700	0.002067
34	0.147600	0.001476
35	0.166700	0.001667
36	0.174500	0.001745
37	0.167200	0.001672
38	0.189400	0.001894
39	0.137500	0.001375
40	0.114400	0.001144
41	0.095700	0.000957
42	0.078300	0.000783
43	0.043700	0.000437
44	0.076600	0.000766
45	0.089300	0.000893
46	0.127500	0.001275
47	0.135600	0.001356
48	0.181800	0.001818
49	0.136900	0.001369
50	0.106300	0.001063
51	0.114500	0.001145
52	0.064400	0.000644
53	0.039200	0.000392
54	0.049000	0.000490
55	0.053900	0.000539
56	0.041000	0.000410
57	0.101000	0.001010
58	0.095900	0.000959
59	0.077100	0.000771
60	0.078700	0.000787
61	0.083300	0.000833
62	0.070200	0.000702
63	0.038400	0.000384
64	0.063700	0.000637
65	0.032000	0.000320
66	0.035300	0.000353
67	0.033600	0.000336
68	0.052200	0.000522
69	0.050300	0.000503
70	0.062500	0.000625
71	0.081500	0.000815
72	0.054000	0.000540
73	0.042100	0.000421
74	0.028500	0.000285
75	0.042300	0.000423
76	0.032300	0.000323
77	0.031600	0.000316
78	0.028400	0.000284
79	0.019700	0.000197
80	0.043300	0.000433
81	0.048400	0.000484
82	0.053400	0.000534
83	0.060700	0.000607
84	0.049900	0.000499
85	0.048100	0.000481
86	0.062100	0.000621
87	0.077300	0.000773
88	0.072200	0.000722
89	0.048400	0.000484
90	0.044900	0.000449
91	0.034000	0.000340
92	0.059600	0.000596
93	0.072700	0.000727
94	0.045400	0.000454
95	0.023600	0.000236
96	0.031500	0.000315
97	0.014800	0.000148
98	0.015900	0.000159
99	0.019200	0.000192
100	0.050200	0.000502
101	0.045700	0.000457
102	0.061800	0.000618
103	0.034700	0.000347
104	0.066900	0.000669
105	0.041100	0.000411
106	0.048400	0.000484
107	0.056600	0.000566
108	0.032000	0.000320
109	0.029800	0.000298
110	0.023100	0.000231
111	0.034500	0.000345
112	0.053900	0.000539
113	0.027200	0.000272
114	0.026100	0.000261
115	0.030000	0.000300
116	0.021300	0.000213
117	0.035600	0.000356
118	0.031200	0.000312
119	0.042000	0.000420
120	0.027900	0.000279
121	0.043100	0.000431
122	0.023300	0.000233
123	0.014800	0.000148
124	0.010500	0.000105
125	0.018400	0.000184
126	0.006400	0.000064
127	0.013000	0.000130
128	0.006500	0.000065
129	0.011600	0.000116
130	0.022100	0.000221
131	0.013300	0.000133
132	0.015300	0.000153
133	0.011500	0.000115
134	0.016200	0.000162
135	0.026100	0.000261
136	0.018000	0.000180
137	0.012300	0.000123
138	0.006800	0.000068
139	0.010900	0.000109
140	0.015900	0.000159
141	0.012700	0.000127
142	0.004300	0.000043
143	0.012200	0.000122
144	0.032300	0.000323
145	0.020600	0.000206
146	0.010400	0.000104
147	0.016000	0.000160
148	0.007100	0.000071
149	0.014000	0.000140
150	0.014700	0.000147
151	0.012300	0.000123
152	0.006200	0.000062
153	0.004700	0.000047
154	0.009700	0.000097
155	0.010400	0.000104
156	0.011500	0.000115
157	0.011900	0.000119
158	0.014600	0.000146
159	0.016100	0.000161
160	0.022800	0.000228
161	0.023800	0.000238
162	0.011700	0.000117
163	0.010500	0.000105
164	0.008800	0.000088
165	0.004200	0.000042
166	0.022500	0.000225
167	0.021900	0.000219
168	0.006400	0.000064
169	0.008800	0.000088
170	0.007100	0.000071
171	0.009300	0.000093
172	0.011600	0.000116
173	0.005300	0.000053
174	0.016800	0.000168
175	0.007400	0.000074
176	0.003300	0.000033
177	0.004600	0.000046
178	0.008500	0.000085
179	0.004200	0.000042
180	0.010700	0.000107
181	0.011600	0.000116
182	0.010700	0.000107
183	0.015100	0.000151
184	0.008600	0.000086
185	0.008900	0.000089
186	0.002500	0.000025
187	0.008600	0.000086
188	0.010000	0.000100
189	0.007600	0.000076
190	0.017700	0.000177
191	0.003600	0.000036
192	0.005700	0.000057
193	0.005400	0.000054
194	0.003600	0.000036
195	0.008600	0.000086
196	0.010400	0.000104
197	0.015600	0.000156
198	0.007200	0.000072
199	0.007500	0.000075
