'# BARABASI, conf->n_vertex : 100, N_RAN: 1, TIMER: 100000, T_TRANS: 20000 ,DEATH_PROB 0.015000, DEATH_PHASE  2, K 0'
# N_palline(X)	AVG frequency(Y1)	probability(Y2)
0	58.882350	0.588824
1	13.562762	0.135628
2	4.906388	0.049064
3	2.255162	0.022552
4	1.278037	0.012780
5	0.834425	0.008344
6	0.582700	0.005827
7	0.485025	0.004850
8	0.379675	0.003797
9	0.296913	0.002969
10	0.275388	0.002754
11	0.215562	0.002156
12	0.173275	0.001733
13	0.151950	0.001520
14	0.119612	0.001196
15	0.102375	0.001024
16	0.091525	0.000915
17	0.077775	0.000778
18	0.063637	0.000636
19	0.058088	0.000581
20	0.051312	0.000513
21	0.047350	0.000474
22	0.032850	0.000328
23	0.039700	0.000397
24	0.047262	0.000473
25	0.043437	0.000434
26	0.026400	0.000264
27	0.033750	0.000338
28	0.026675	0.000267
29	0.029013	0.000290
30	0.021012	0.000210
31	0.020313	0.000203
32	0.017800	0.000178
33	0.019925	0.000199
34	0.024625	0.000246
35	0.024063	0.000241
36	0.022662	0.000227
37	0.017462	0.000175
38	0.024037	0.000240
39	0.018812	0.000188
40	0.024063	0.000241
41	0.026525	0.000265
42	0.030238	0.000302
43	0.029087	0.000291
44	0.037225	0.000372
45	0.031313	0.000313
46	0.035350	0.000353
47	0.051725	0.000517
48	0.035975	0.000360
49	0.029775	0.000298
50	0.021075	0.000211
51	0.022613	0.000226
52	0.027238	0.000272
53	0.017137	0.000171
54	0.017337	0.000173
55	0.009312	0.000093
56	0.006837	0.000068
57	0.010087	0.000101
58	0.013737	0.000137
59	0.015500	0.000155
60	0.019013	0.000190
61	0.021550	0.000216
62	0.023075	0.000231
63	0.032613	0.000326
64	0.035562	0.000356
65	0.042775	0.000428
66	0.029825	0.000298
67	0.037725	0.000377
68	0.024137	0.000241
69	0.024475	0.000245
70	0.017225	0.000172
71	0.023688	0.000237
72	0.038913	0.000389
73	0.042713	0.000427
74	0.034425	0.000344
75	0.029812	0.000298
76	0.024775	0.000248
77	0.022975	0.000230
78	0.019113	0.000191
79	0.019312	0.000193
80	0.014125	0.000141
81	0.010950	0.000109
82	0.014350	0.000143
83	0.017100	0.000171
84	0.019250	0.000192
85	0.022138	0.000221
86	0.021487	0.000215
87	0.026725	0.000267
88	0.023238	0.000232
89	0.016375	0.000164
90	0.014913	0.000149
91	0.014913	0.000149
92	0.020175	0.000202
93	0.028413	0.000284
94	0.034013	0.000340
95	0.034125	0.000341
96	0.029812	0.000298
97	0.020825	0.000208
98	0.020000	0.000200
99	0.024275	0.000243
100	0.015662	0.000157
101	0.014563	0.000146
102	0.023475	0.000235
103	0.019287	0.000193
104	0.016037	0.000160
105	0.010863	0.000109
106	0.012087	0.000121
107	0.014875	0.000149
108	0.017988	0.000180
109	0.031162	0.000312
110	0.026475	0.000265
111	0.023225	0.000232
112	0.023950	0.000239
113	0.025050	0.000251
114	0.023113	0.000231
115	0.026713	0.000267
116	0.021100	0.000211
117	0.022750	0.000228
118	0.017413	0.000174
119	0.023300	0.000233
120	0.024188	0.000242
121	0.035425	0.000354
122	0.039512	0.000395
123	0.047350	0.000474
124	0.058200	0.000582
125	0.055925	0.000559
126	0.045012	0.000450
127	0.054337	0.000543
128	0.047188	0.000472
129	0.036513	0.000365
130	0.033862	0.000339
131	0.030525	0.000305
132	0.035638	0.000356
133	0.034362	0.000344
134	0.025250	0.000253
135	0.030087	0.000301
136	0.025663	0.000257
137	0.026950	0.000269
138	0.035900	0.000359
139	0.039725	0.000397
140	0.027187	0.000272
141	0.039587	0.000396
142	0.038712	0.000387
143	0.039788	0.000398
144	0.038613	0.000386
145	0.033075	0.000331
146	0.029500	0.000295
147	0.033800	0.000338
148	0.042625	0.000426
149	0.060512	0.000605
150	0.052512	0.000525
151	0.055425	0.000554
152	0.068663	0.000687
153	0.077613	0.000776
154	0.058713	0.000587
155	0.049450	0.000495
156	0.048225	0.000482
157	0.054025	0.000540
158	0.043625	0.000436
159	0.040700	0.000407
160	0.044900	0.000449
161	0.032337	0.000323
162	0.027088	0.000271
163	0.032012	0.000320
164	0.018763	0.000188
165	0.018550	0.000186
166	0.023650	0.000237
167	0.019738	0.000197
168	0.025188	0.000252
169	0.035763	0.000358
170	0.044675	0.000447
171	0.054175	0.000542
172	0.034725	0.000347
173	0.031750	0.000318
174	0.031663	0.000317
175	0.035800	0.000358
176	0.033962	0.000340
177	0.033912	0.000339
178	0.027300	0.000273
179	0.023987	0.000240
180	0.023563	0.000236
181	0.021237	0.000212
182	0.021725	0.000217
183	0.027613	0.000276
184	0.030763	0.000308
185	0.027412	0.000274
186	0.033625	0.000336
187	0.032162	0.000322
188	0.027662	0.000277
189	0.023412	0.000234
190	0.018775	0.000188
191	0.019887	0.000199
192	0.018800	0.000188
193	0.009638	0.000096
194	0.018062	0.000181
195	0.026963	0.000270
196	0.029087	0.000291
197	0.027387	0.000274
198	0.032537	0.000325
199	0.031050	0.000311
200	0.040575	0.000406
201	0.034175	0.000342
202	0.031225	0.000312
203	0.015388	0.000154
204	0.008212	0.000082
205	0.013388	0.000134
206	0.016063	0.000161
207	0.022250	0.000222
208	0.032975	0.000330
209	0.035362	0.000354
210	0.025450	0.000255
211	0.025650	0.000257
212	0.020975	0.000210
213	0.016625	0.000166
214	0.019938	0.000199
215	0.022888	0.000229
216	0.022713	0.000227
217	0.013125	0.000131
218	0.006150	0.000062
219	0.015125	0.000151
220	0.012387	0.000124
221	0.017000	0.000170
222	0.013163	0.000132
223	0.011150	0.000111
224	0.009100	0.000091
225	0.008488	0.000085
226	0.005163	0.000052
227	0.006100	0.000061
228	0.007938	0.000079
229	0.007375	0.000074
230	0.006638	0.000066
231	0.012275	0.000123
232	0.014300	0.000143
233	0.005200	0.000052
234	0.010625	0.000106
235	0.011888	0.000119
236	0.012738	0.000127
237	0.011912	0.000119
238	0.015312	0.000153
239	0.019475	0.000195
240	0.010412	0.000104
241	0.011388	0.000114
242	0.020200	0.000202
243	0.023113	0.000231
244	0.019588	0.000196
245	0.011850	0.000118
246	0.015237	0.000152
247	0.013487	0.000135
248	0.006513	0.000065
249	0.006888	0.000069
250	0.004962	0.000050
251	0.004237	0.000042
252	0.005550	0.000056
253	0.007112	0.000071
254	0.008913	0.000089
255	0.007950	0.000080
256	0.006325	0.000063
257	0.009350	0.000094
258	0.007287	0.000073
259	0.008150	0.000081
260	0.005825	0.000058
261	0.003762	0.000038
262	0.003788	0.000038
263	0.003438	0.000034
264	0.005450	0.000054
265	0.008000	0.000080
266	0.007687	0.000077
267	0.005237	0.000052
268	0.007575	0.000076
269	0.004725	0.000047
270	0.002512	0.000025
271	0.001437	0.000014
272	0.005075	0.000051
273	0.003063	0.000031
274	0.003812	0.000038
275	0.003462	0.000035
276	0.003175	0.000032
277	0.003237	0.000032
278	0.003525	0.000035
279	0.003325	0.000033
280	0.004387	0.000044
281	0.004150	0.000041
