'# DEGREE SEQUENCE, conf->n_vertex : 100, N_RAN: 1, TIMER: 10000,T_TRANS: 0, conf->degree1: 10, conf->degree2: 50, DEATH_PROB: 0.015000, DEATH_PHASE: 2, K: 0'
# N_palline(X)	AVG frequency(Y1)	probability(Y2)
0	42.171200	0.421712
1	10.601700	0.106017
2	4.377400	0.043774
3	2.944000	0.029440
4	2.371200	0.023712
5	2.370100	0.023701
6	2.221700	0.022217
7	2.155400	0.021554
8	2.108700	0.021087
9	2.003000	0.020030
10	1.856700	0.018567
11	1.787100	0.017871
12	1.758400	0.017584
13	1.682800	0.016828
14	1.402600	0.014026
15	1.259300	0.012593
16	1.233300	0.012333
17	1.005100	0.010051
18	0.777200	0.007772
19	0.605200	0.006052
20	0.606600	0.006066
21	0.642600	0.006426
22	0.810300	0.008103
23	0.863400	0.008634
24	0.806200	0.008062
25	0.637500	0.006375
26	0.614600	0.006146
27	0.464800	0.004648
28	0.489300	0.004893
29	0.491400	0.004914
30	0.431800	0.004318
31	0.510400	0.005104
32	0.537100	0.005371
33	0.566700	0.005667
34	0.595000	0.005950
35	0.486100	0.004861
36	0.519200	0.005192
37	0.436000	0.004360
38	0.356900	0.003569
39	0.360900	0.003609
40	0.318800	0.003188
41	0.312300	0.003123
42	0.274800	0.002748
43	0.244900	0.002449
44	0.218500	0.002185
45	0.197400	0.001974
46	0.170400	0.001704
47	0.116800	0.001168
48	0.097600	0.000976
49	0.039000	0.000390
50	0.030500	0.000305
51	0.016900	0.000169
52	0.010300	0.000103
53	0.011800	0.000118
54	0.006400	0.000064
55	0.004700	0.000047
