'# DEGREE SEQUENCE, conf->n_vertex : 100, N_RAN: 1, TIMER: 10000,T_TRANS: 0, conf->degree1: 10, conf->degree2: 50, DEATH_PROB: 0.015000, DEATH_PHASE: 2, K: 0'
# N_palline(X)	AVG frequency_degree2(Y1)	probability_degree2(Y2)
1	1.000000	0.020000
5	3.000000	0.060000
7	3.000000	0.060000
8	1.000000	0.020000
9	2.000000	0.040000
11	4.000000	0.080000
12	2.000000	0.040000
13	3.000000	0.060000
14	2.000000	0.040000
16	1.000000	0.020000
17	1.000000	0.020000
19	1.000000	0.020000
20	1.000000	0.020000
22	1.000000	0.020000
23	1.000000	0.020000
26	3.000000	0.060000
28	1.000000	0.020000
31	1.000000	0.020000
32	1.000000	0.020000
35	1.000000	0.020000
36	1.000000	0.020000
38	1.000000	0.020000
39	1.000000	0.020000
42	1.000000	0.020000
44	3.000000	0.060000
46	1.000000	0.020000
47	3.000000	0.060000
48	4.000000	0.080000
50	1.000000	0.020000
