'# FULL GRAPH, conf->n_vertex : 100, N_RAN: 1, TIMER: 10000, T_TRANS: 0 ,DEATH_PROB 0.012500, DEATH_PHASE  2, K 0'
# N_palline(X)	AVG frequency(Y1)	probability(Y2)
0	23.780500	0.237805
1	17.812300	0.178123
2	14.067200	0.140672
3	10.595100	0.105951
4	8.214800	0.082148
5	6.171400	0.061714
6	4.410500	0.044105
7	3.427900	0.034279
8	2.641400	0.026414
9	2.005100	0.020051
10	1.827900	0.018279
11	1.320200	0.013202
12	1.070400	0.010704
13	0.777000	0.007770
14	0.507500	0.005075
15	0.497200	0.004972
16	0.431700	0.004317
17	0.144100	0.001441
18	0.103800	0.001038
19	0.083600	0.000836
20	0.056600	0.000566
21	0.043800	0.000438
