'# REGULAR GRAPH, conf->n_vertex : 100, N_RAN: 1, TIMER: 10000,T_TRANS: 0, conf->degree1: 10, DEATH_PROB: 0.012500, DEATH_PHASE: 2 K: 0'
# N_palline(X)	AVG frequency(Y1)	probability(Y2)
0	24.060200	0.240602
1	18.936100	0.189361
2	14.060400	0.140604
3	10.265100	0.102651
4	7.774800	0.077748
5	5.691300	0.056913
6	4.662500	0.046625
7	3.554400	0.035544
8	2.780500	0.027805
9	2.096700	0.020967
10	1.640000	0.016400
11	1.210500	0.012105
12	0.817400	0.008174
13	0.572800	0.005728
14	0.379400	0.003794
15	0.285900	0.002859
16	0.301800	0.003018
17	0.188600	0.001886
18	0.119600	0.001196
19	0.092400	0.000924
20	0.076700	0.000767
21	0.038600	0.000386
22	0.017800	0.000178
23	0.089000	0.000890
24	0.089900	0.000899
25	0.081300	0.000813
26	0.044100	0.000441
27	0.013400	0.000134
28	0.006900	0.000069
29	0.015400	0.000154
30	0.017100	0.000171
31	0.009400	0.000094
