'# REGULAR GRAPH, conf->n_vertex : 100, N_RAN: 1, TIMER: 10000,T_TRANS: 6000, conf->degree1: 10, DEATH_PROB: 0.015000, DEATH_PHASE: 2 K: 0'
# N_palline(X)	AVG frequency(Y1)	probability(Y2)
0	35.003000	0.350030
1	23.150250	0.231502
2	14.671000	0.146710
3	9.093250	0.090932
4	5.841500	0.058415
5	3.648500	0.036485
6	2.872000	0.028720
7	1.869750	0.018697
8	1.333500	0.013335
9	0.728250	0.007282
10	0.561500	0.005615
11	0.295500	0.002955
12	0.250250	0.002502
13	0.199250	0.001992
14	0.183750	0.001837
15	0.194000	0.001940
16	0.070500	0.000705
17	0.009250	0.000092
