# REGULAR GRAPH, conf->n_vertex : 100, N_RAN: 1, TIMER: 20000,T_TRANS: 5000, conf->degree1: 10, DEATH_PROB: 0.015000, DEATH_PHASE: 2 K: 0
# N_palline(X)	AVG frequency(Y1)	probability(Y2)
0	33.680533	0.336805
1	22.399867	0.223999
2	14.391000	0.143910
3	9.550267	0.095503
4	6.473267	0.064733
5	4.327000	0.043270
6	2.985733	0.029857
7	2.002800	0.020028
8	1.189467	0.011895
9	0.892600	0.008926
10	0.660600	0.006606
11	0.386867	0.003869
12	0.290200	0.002902
13	0.287200	0.002872
14	0.238600	0.002386
15	0.132733	0.001327
16	0.056067	0.000561
17	0.031267	0.000313
18	0.017600	0.000176
19	0.002067	0.000021
20	0.004267	0.000043
