'# WATTS-STROGATZ small-world, n_vertex: 100, N_RAN: 1, TIMER: 10000,T_TRANS: 6000, DEATH_PROB: 0.015000, DEATH_PHASE: 2, K: 0; DIMENSION LATTICE 1, NEIGHBOORHOOD: 10, REWIRE_P : 0.500000, LOOPS: 1, MULTIPLE: 0'
# N_palline(X)	AVG frequency(Y1)	probability(Y2)
0	33.771000	0.337710
1	21.031000	0.210310
2	13.127000	0.131270
3	8.654000	0.086540
4	5.908000	0.059080
5	4.767750	0.047678
6	3.287250	0.032872
7	2.418250	0.024182
8	1.690000	0.016900
9	1.209250	0.012092
10	0.843750	0.008438
11	0.576750	0.005768
12	0.459500	0.004595
13	0.206000	0.002060
14	0.270500	0.002705
15	0.216750	0.002168
16	0.268500	0.002685
17	0.248750	0.002488
18	0.193750	0.001937
19	0.098500	0.000985
20	0.120000	0.001200
21	0.104750	0.001048
22	0.046750	0.000467
23	0.064250	0.000643
24	0.021750	0.000217
25	0.054500	0.000545
26	0.017500	0.000175
27	0.089750	0.000897
28	0.076250	0.000762
29	0.034250	0.000343
30	0.042000	0.000420
31	0.054250	0.000543
32	0.002750	0.000027
