'# WATTS-STROGATZ small-world, n_vertex: 100, N_RAN: 1, TIMER: 100000,T_TRANS: 30000, DEATH_PROB: 0.012500, DEATH_PHASE: 2, K: 0; DIMENSION LATTICE 1, NEIGHBOORHOOD: 10, REWIRE_P : 0.500000, LOOPS: 1, MULTIPLE: 0'
# N_palline(X)	AVG frequency(Y1)	probability(Y2)
0	20.684329	0.206843
1	14.448057	0.144481
2	10.160857	0.101609
3	7.527300	0.075273
4	5.735243	0.057352
5	4.384814	0.043848
6	3.504271	0.035043
7	2.873257	0.028733
8	2.378686	0.023787
9	2.040229	0.020402
10	1.768000	0.017680
11	1.496843	0.014968
12	1.265557	0.012656
13	1.125743	0.011257
14	0.986257	0.009863
15	0.838229	0.008382
16	0.708829	0.007088
17	0.586186	0.005862
18	0.583729	0.005837
19	0.504900	0.005049
20	0.435743	0.004357
21	0.346586	0.003466
22	0.283729	0.002837
23	0.243229	0.002432
24	0.192200	0.001922
25	0.193243	0.001932
26	0.173171	0.001732
27	0.125900	0.001259
28	0.107843	0.001078
29	0.111729	0.001117
30	0.129929	0.001299
31	0.090814	0.000908
32	0.115714	0.001157
33	0.082657	0.000827
34	0.088157	0.000882
35	0.097343	0.000973
36	0.090229	0.000902
37	0.090057	0.000901
38	0.075614	0.000756
39	0.079171	0.000792
40	0.079514	0.000795
41	0.090671	0.000907
42	0.097686	0.000977
43	0.106157	0.001062
44	0.101686	0.001017
45	0.112171	0.001122
46	0.134657	0.001347
47	0.136771	0.001368
48	0.178729	0.001787
49	0.167500	0.001675
50	0.163057	0.001631
51	0.173900	0.001739
52	0.150200	0.001502
53	0.183129	0.001831
54	0.191443	0.001914
55	0.209200	0.002092
56	0.241257	0.002413
57	0.248714	0.002487
58	0.255871	0.002559
59	0.266086	0.002661
60	0.267514	0.002675
61	0.304343	0.003043
62	0.270700	0.002707
63	0.228743	0.002287
64	0.232486	0.002325
65	0.225986	0.002260
66	0.191143	0.001911
67	0.209814	0.002098
68	0.232243	0.002322
69	0.216429	0.002164
70	0.174914	0.001749
71	0.189386	0.001894
72	0.164400	0.001644
73	0.176257	0.001763
74	0.211671	0.002117
75	0.181857	0.001819
76	0.200886	0.002009
77	0.193757	0.001938
78	0.179871	0.001799
79	0.167586	0.001676
80	0.168729	0.001687
81	0.148871	0.001489
82	0.190957	0.001910
83	0.176043	0.001760
84	0.206043	0.002060
85	0.199343	0.001993
86	0.192786	0.001928
87	0.184586	0.001846
88	0.177029	0.001770
89	0.162986	0.001630
90	0.153214	0.001532
91	0.145100	0.001451
92	0.121900	0.001219
93	0.128171	0.001282
94	0.113200	0.001132
95	0.107671	0.001077
96	0.082186	0.000822
97	0.098171	0.000982
98	0.099186	0.000992
99	0.108471	0.001085
100	0.096643	0.000966
101	0.109557	0.001096
102	0.092614	0.000926
103	0.095600	0.000956
104	0.093771	0.000938
105	0.067300	0.000673
106	0.086329	0.000863
107	0.082371	0.000824
108	0.069800	0.000698
109	0.065143	0.000651
110	0.040671	0.000407
111	0.029600	0.000296
112	0.031929	0.000319
113	0.046571	0.000466
114	0.053029	0.000530
115	0.044614	0.000446
116	0.036943	0.000369
117	0.034057	0.000341
118	0.034000	0.000340
119	0.038229	0.000382
120	0.035986	0.000360
121	0.029514	0.000295
122	0.020500	0.000205
123	0.028457	0.000285
124	0.025729	0.000257
125	0.017643	0.000176
126	0.033971	0.000340
127	0.042100	0.000421
128	0.043629	0.000436
129	0.053757	0.000538
130	0.040214	0.000402
131	0.044971	0.000450
132	0.035971	0.000360
133	0.039771	0.000398
134	0.037971	0.000380
135	0.036257	0.000363
136	0.028557	0.000286
137	0.024486	0.000245
138	0.021986	0.000220
139	0.021443	0.000214
140	0.021929	0.000219
141	0.010786	0.000108
142	0.015014	0.000150
143	0.013900	0.000139
144	0.016757	0.000168
145	0.005900	0.000059
146	0.004743	0.000047
147	0.004286	0.000043
148	0.007600	0.000076
149	0.012657	0.000127
150	0.020043	0.000200
151	0.015386	0.000154
152	0.018957	0.000190
153	0.014229	0.000142
154	0.013529	0.000135
155	0.007857	0.000079
156	0.014400	0.000144
157	0.010771	0.000108
158	0.011686	0.000117
159	0.011229	0.000112
160	0.012700	0.000127
161	0.018471	0.000185
162	0.021514	0.000215
163	0.023343	0.000233
164	0.019386	0.000194
165	0.014171	0.000142
166	0.011371	0.000114
167	0.011071	0.000111
168	0.007157	0.000072
169	0.006071	0.000061
170	0.010629	0.000106
171	0.008100	0.000081
172	0.008157	0.000082
173	0.009157	0.000092
174	0.010029	0.000100
175	0.019743	0.000197
176	0.013771	0.000138
177	0.008414	0.000084
178	0.014971	0.000150
179	0.025600	0.000256
180	0.025843	0.000258
181	0.013429	0.000134
182	0.008514	0.000085
183	0.017643	0.000176
184	0.012900	0.000129
185	0.023886	0.000239
186	0.018200	0.000182
187	0.020914	0.000209
188	0.010786	0.000108
189	0.004386	0.000044
190	0.005500	0.000055
191	0.005400	0.000054
192	0.007243	0.000072
193	0.004629	0.000046
194	0.009871	0.000099
195	0.005086	0.000051
196	0.007257	0.000073
197	0.004357	0.000044
198	0.001200	0.000012
199	0.000871	0.000009
200	0.001914	0.000019
201	0.002871	0.000029
202	0.001200	0.000012
203	0.001314	0.000013
204	0.000429	0.000004
205	0.000471	0.000005
206	0.003029	0.000030
207	0.006500	0.000065
208	0.009643	0.000096
209	0.013871	0.000139
210	0.017800	0.000178
211	0.013343	0.000133
212	0.017514	0.000175
213	0.014700	0.000147
214	0.006629	0.000066
215	0.004714	0.000047
216	0.005957	0.000060
217	0.002300	0.000023
218	0.000529	0.000005
219	0.001086	0.000011
220	0.000271	0.000003
